order_id,customer_name,phone,email,city,product,category,amount,quantity,order_date,status,age
ORD-20260057,黄莉,17519673809,zhangwei447@qq.com,广州,无线鼠标M3,办公用品,132.86,1.0,2026-06-16,已退款,62
ORD-20260058,李娜,18589036966,wangfang406@gmail.com,南京,无线鼠标M3,电子产品,175.26,3.0,2026/06/29,待付款,33
ORD-20260059,周杰,13933776150,huangli476@outlook.com,苏州,摄像头1080P,办公用品,226.5,3.0,2026-10-30,已退款,47
ORD-20260060,王芳,14192545028,yangfan474@qq.com,武汉,无线鼠标M3,电脑配件,278.04,3.0,2027-01-01,待付款,33
ORD-20260061,胡斌,17660043345,yangfan419@gmail.com,上海,摄像头1080P,电子产品,161.67,3.0,12/03/2026,已退款,39
ORD-20260061,宋雅,18027307598,wangfang318@outlook.com,苏州,移动电源20000mAh,电子产品,185.15,3.0,2026-06-08,已发货,49
ORD-20260063,刘洋,14278140959,zhangwei678@gmail.com,杭州,数据线1.5m,电脑配件,111.49,2.0,2026-08-13,待发货,33
ORD-20260064,罗浩,18741407343,liuyang989@outlook.com,武汉,无线鼠标M3,办公用品,104.3,5.0,08/03/2026,已发货,26
ORD-20260065,王芳,14379244185,liuyang86@163.com,杭州,4K显示器27寸,办公用品,265.0,4.0,2026-01-28,待发货,23
ORD-20260066,张伟,17229602406,liuyang940@outlook.com,杭州,路由器AX6000,电子产品,308.5,2.0,10/08/2026,已退款,25
ORD-20260067,黄莉,193x725726,zhaomin736@163.com,北京,数据线1.5m,办公用品,194.24,3.0,02/04/2026,已退款,50
ORD-20260068,马超,132x474440,chenjing247@qq.com,苏州,移动电源20000mAh,Electronics,280.28,4.0,2026-12-23,已发货,22
ORD-20260069,,15515624520,liuyang528@outlook.com,厦门,USB-C扩展坞,办公用品,228.93,3.0,2026-05-20,待发货,43
ORD-20260070,彭博,15376599269,chenjing947@gmail.com,天津,蓝牙耳机Pro,电脑配件,148.39,3.0,2026-06-06,待付款,62
ORD-20260071,,17592523968,liuyang655@qq.com,郑州,无线鼠标M3,电脑配件,228.91,4.0,2026-01-18,已发货,41
ORD-20260072,,18759790013,wangfang588@163.com,郑州,无线鼠标M3,电脑配件,323.04,5.0,07/18/2026,已完成,34
ORD-20260073,杨帆,19236867482,wangfang463@163.com,青岛,蓝牙耳机Pro,手机配件,197.13,3.0,03-06-2026,待付款,62
ORD-20260074,许鹏,15528639738,huangli27@gmail.com,长沙,笔记本电脑支架,电脑配件,325.17,4.0,2026-09-27,已取消,22
ORD-20260075,徐辉,19656239991,lina787@163.com,上海,蓝牙耳机Pro,手机配件,-9.58,3.0,23-09-2026,已完成,58
ORD-20260076,周杰,19822539748,lina607@163.com,苏州,数据线1.5m,电子产品,265.75,3.0,2026-11-30,已退款,58
ORD-20260076,彭博,16874819756,yangfan305@outlook.com,上海,移动电源20000mAh,办公用品,206.96,3.0,2026年06月26日,已发货,50
ORD-20260078,徐辉,18743275109,zhangwei298@outlook.com,天津,机械键盘K8,电脑配件,176.08,2.0,2026-03-23,已退款,37
ORD-20260079,李娜,16038876195,zhangwei52@gmail.com,厦门,USB-C扩展坞,电子产品,207.34,4.0,2026-07-07,已完成,30
ORD-20260080,吴鑫,16593650068,wangfang132@qq.com,苏州,手机充电器65W,电脑配件,40.99,1.0,2026-01-20,待发货,51
ORD-20260081,罗浩,17031810655,liuyang608@gmail.com,厦门,路由器AX6000,办公用品,182.43,4.0,2026-10-26,待付款,58
ORD-20260081,林洁,15916892773,lina537@outlook.com,南京,智能手表S1,电子产品,228.57,4.0,2026-12-20,已退款,48
ORD-20260083,韩冰,19637828932,huangli539@outlook.com,成都,笔记本电脑支架,手机配件,318.23,3.0,2026-11-09,已发货,37
ORD-20260084,吴鑫,19252552488,liuyang295@qq.com,郑州,4K显示器27寸,电脑配件,158.54,3.0,2026/08/15,待付款,30
ORD-20260085,周杰,14724660143,zhaomin249@qq.com,南京,摄像头1080P,电脑配件,135.32,2.0,01/03/2026,已发货,48
ORD-20260086,杨帆,16696690951,wangfang668@163.com,上海,移动电源20000mAh,电脑配件,159.86,4.0,04/06/2026,待发货,18
ORD-20260087,罗浩,16670981700,huangli911@163.com,青岛,USB-C扩展坞,电脑配件,273.23,2.0,2026/01/08,待发货,30
ORD-20260088,冯雪,18479159799,yangfan686@qq.com,杭州,笔记本电脑支架,电脑配件,10753.62,3.0,2026-06-18,待付款,34
ORD-20260089,唐亮,18951178850,liuyang707@qq.com,重庆,无线鼠标M3,电脑配件,157.62,5.0,2026-07-11,已退款,52
ORD-20260090,邓磊,14080532309,chenjing80qq,武汉,数据线1.5m,电脑配件,241.06,2.0,2026-10-26,已退款,21
ORD-20260091,何强,18951361818,yangfan261@qq.com,广州,智能手表S1,电子产品,207.77,4.0,2026-01-17,已发货,59
ORD-20260092,梁宇,17870201634,yangfan385@qq.com,杭州,摄像头1080P,电子产品,277.49,2.0,02-01-2026,待发货,64
ORD-20260093,郭涛,18856460773,zhaomin960qq,天津,数据线1.5m,电子产品,143.84,4.0,2026/11/03,已完成,20
ORD-20260094,黄莉,13728808678,liuyang240@gmail.com,苏州,机械键盘K8,电脑配件,173.79,3.0,2026/02/01,已退款,29
ORD-20260095,朱峰,1747394713,yangfan419@163.com,成都,手机充电器65W,电脑配件,168.63,1.0,2026-10-15,已取消,26
ORD-20260096,周杰,18759805178,zhaomin53@gmail.com,上海,蓝牙耳机Pro,电子产品 ,82.92,3.0,06/05/2026,已完成,30
ORD-20260097,赵敏,16191121400,yangfan938@163.com,重庆,4K显示器27寸,手机配件,223.69,4.0,20-02-2026,待付款,38
ORD-20260098,孙悦,183x409531,chenjing236@outlook.com,南京,笔记本电脑支架,手机配件,220.88,4.0,2026-08-24,待发货,64
ORD-20260099,陈静,13780322629,,广州,摄像头1080P,电子产品,200.41,2.0,2026-01-05,已取消,57
ORD-20260100,蒋敏,19212111482,,天津,智能手表S1,手机 配件,181.23,99.0,2026-12-12,已发货,24
ORD-20260101,黄莉,17545879718,wangfang383@outlook.com,南京,路由器AX6000,办公用品,86.77,1.0,2026-02-17,已取消,21
ORD-20260102,唐亮,18596557984,wangfang917@qq.com,厦门,USB-C扩展坞,电脑配件,166.35,1.0,04/02/2026,待发货,保密
ORD-20260103,曹瑞,13950168264,zhaomin581@outlook.com,苏州,4K显示器27寸,电脑配件,172.58,3.0,2026-01-28,已发货,39
ORD-20260104,罗浩,17113976288,huangli503@163.com,郑州,4K显示器27寸,电子产品 ,135.82,2.0,2027-01-01,待发货,63
ORD-20260105,刘洋,14322283664,,重庆,笔记本电脑支架,手机配件,187.1,5.0,2026/10/12,已完成,N/A
ORD-20260106,罗浩,17911656329,yangfan798@qq.com,南京,数据线1.5m,办公用品,232.32,2.0,2026-02-02,待发货,48
ORD-20260107,孙悦,19389699345,huangli110@163.com,郑州,无线鼠标M3,办公用品,350.89,5.0,2026-03-11,已退款,30
ORD-20260108,陈静,16794946730,zhaomin334@outlook.com,郑州,无线鼠标M3,电子产品 ,213.97,5.0,01/14/2026,已取消,31
ORD-20260109,吴鑫,168x353777,lina733@outlook.com,广州,笔记本电脑支架,办公用品,220.6,4.0,2026-10-06,待发货,52
ORD-20260110,蒋敏,17532325574,zhangwei577@outlook.com,苏州,4K显示器27寸,电脑配件,194.04,5.0,2026/12/19,已取消,47
ORD-20260111,高远,13374796438,yangfan943@qq.com,杭州,无线鼠标M3,办公用品,46.5,1.0,2026/08/13,已取消,37
ORD-20260111,唐亮,14332059232,zhaomin529@163.com,苏州,手机充电器65W,办公用品,197.88,4.0,2026-07-22,已退款,46
ORD-20260113,,16518397164,lina375@gmail.com,深圳,USB-C扩展坞,办公用品,204.82,5.0,2026/07/20,待发货,47
ORD-20260114,邓磊,14027978165,zhaomin313@qq.com,杭州,手机充电器65W,电脑配件,397.06,5.0,12/22/2026,已发货,49
ORD-20260115,陈静,13658189421,huangli140@163.com,厦门,4K显示器27寸,办公用品,184.61,5.0,16-01-2026,已发货,35
ORD-20260116,吴鑫,19383782999,wangfang275@gmail.com,上海,路由器AX6000,电脑配件,224.12,2.0,02-06-2026,已完成,40
ORD-20260117,李娜,16038169370,chenjing882@outlook.com,杭州,机械键盘K8,电子产品,197.22,2.0,2026年06月15日,待发货,35
ORD-20260118,何强,14228198434,yangfan941@qq.com,杭州,路由器AX6000,电脑配件,106.51,4.0,2026-09-08,待付款,44
ORD-20260119,李娜,14164069715,liuyang712@gmail.com,厦门,无线鼠标M3,电子产品,291.43,3.0,02-02-2026,已取消,45
ORD-20260120,林洁,17383458776,huangli808@gmail.com,上海,智能手表S1,手机配件 ,260.15,4.0,2026年01月01日,已取消,62
ORD-20260121,彭博,16522527880,liuyang85@gmail.com,成都,智能手表S1,手机配件,263.28,1.0,2026-12-27,已发货,26
ORD-20260122,何强,1733023227,lina490@qq.com,广州,路由器AX6000,电子产品,127.25,2.0,2026年11月25日,已发货,54
ORD-20260122,梁宇,15794299475,yangfan631@outlook.com,广州,蓝牙耳机Pro,电脑配件,312.22,3.0,2026-03-13,待付款,53
ORD-20260124,韩冰,13398369672,zhaomin531@163.com,重庆,摄像头1080P,办公用品,87.85,5.0,2026/02/06,已完成,38
ORD-20260125,冯雪,19933188838,wangfang18qq,武汉,智能手表S1,办公用品,246.95,4.0,2026/08/05,已完成,52
ORD-20260126,周杰,1563606795,wangfang318@outlook.com,南京,智能手表S1, 电脑配件,375.24,2.0,2026-03-03,已发货,28
ORD-20260127,孙悦,16332409388,liuyang751@qq.com,北京,无线鼠标M3,手机配件,120.76,1.0,2026-09-12,待发货,54
ORD-20260128,陈静,14440655922,zhangwei46@qq.com,厦门,无线鼠标M3,电脑配件,154.7,99.0,2026-12-02,待发货,64
ORD-20260129,邓磊,19417069536,zhangwei977outlook,青岛,USB-C扩展坞,手机配件,207.97,-2.0,2026/05/30,待发货,33
ORD-20260130,高远,15583357939,zhaomin155@qq.com,北京,机械键盘K8,电子产品,-171.35,3.0,2026-02-23,已发货,21
ORD-20260131,刘洋,15979760901,chenjing470@qq.com,杭州,摄像头1080P,电子产品,75.95,2.0,2026-05-02,待发货,43
ORD-20260132,韩冰,15920024377,lina799@qq.com,成都,笔记本电脑支架,办公用品,205.49,4.0,2026-06-07,已完成,61
ORD-20260133,唐亮,161x473023,zhangwei694@gmail.com,成都,智能手表S1,办公用品,115.02,1.0,2026-03-13,已完成,32
ORD-20260134,邓磊,14088158177,wangfang23@qq.com,青岛,移动电源20000mAh,电子 产品,237.89,5.0,10-08-2026,已取消,42
ORD-20260135,陈静,16547561442,lina36@163.com,厦门,4K显示器27寸,办公用品,126.45,2.0,26-11-2026,已退款,52
ORD-20260136,马超,19975052579,chenjing398@gmail.com,苏州,数据线1.5m,电子产品,323.99,5.0,2026年04月30日,已完成,33
ORD-20260137,邓磊,15887268086,yangfan364@163.com,苏州,路由器AX6000,电子产品,137.34,2.0,10/16/2026,已取消,29
ORD-20260138,,13280658723,chenjing940@163.com,苏州,路由器AX6000,电子 产品,174.24,2.0,26-02-2026,待发货,41
ORD-20260139,宋雅,16853299069,lina750@outlook.com,厦门,摄像头1080P,手机配件,265.08,3.0,2026-12-19,已发货,62
ORD-20260140,马超,13434438599,zhaomin655@qq.com,杭州,无线鼠标M3,电脑配件,101.53,1.0,2026/12/29,待付款,46
ORD-20260140,杨帆,1622812519,,青岛,路由器AX6000,电脑配件,218.2,5.0,2026-07-12,已取消,54
ORD-20260142,宋雅,13449581964,,西安,蓝牙耳机Pro,手机配件,304.57,1.0,2026/06/23,已退款,63
ORD-20260142,梁宇,15017188130,zhaomin998@163.com,西安,摄像头1080P,办公用品,71.4,4.0,2026-03-20,已完成,36
ORD-20260144,梁宇,13337776759,liuyang84@outlook.com,重庆,4K显示器27寸,手机配件,214.77,4.0,2026-07-09,已完成,47
ORD-20260145,邓磊,1422437930,yangfan995@163.com,郑州,手机充电器65W,办公用品,220.79,4.0,2027-01-01,已退款,54
ORD-20260146,罗浩,18733203422,lina996@163.com,杭州,智能手表S1,办公用品,262.55,5.0,2026-05-13,待付款,22
ORD-20260146,郭涛,16579751366,zhangwei806@outlook.com,杭州,移动电源20000mAh,电子产品,101.04,3.0,02-10-2026,已取消,59
ORD-20260148,罗浩,18129307578,yangfan40@outlook.com,苏州,路由器AX6000,手机 配件,94.36,3.0,2026-06-05,已取消,61
ORD-20260148,冯雪,18653066216,yangfan620@qq.com,武汉,4K显示器27寸,手机配件,241.76,3.0,2026/12/30,已发货,51
ORD-20260150,张伟,15517734634,huangli52@gmail.com,西安,无线鼠标M3,办公用品,223.76,0.0,2026/09/08,已发货,48
ORD-20260151,孙悦,16322132198,yangfan51@163.com,武汉,机械键盘K8,电脑配件,220.04,99.0,2026-01-05,已发货,56
ORD-20260152,黄莉,16996267144,yangfan873@gmail.com,武汉,笔记本电脑支架,办公用品,-0.3,3.0,2026/10/15,已退款,61
ORD-20260153,李娜,17147162866,liuyang193@163.com,南京,智能手表S1,办公用品,145.6,4.0,2026-06-01,已取消,65
ORD-20260153,唐亮,17339845082,huangli929@gmail.com,成都,摄像头1080P,电脑配件,218.58,5.0,04/04/2026,待发货,32
ORD-20260155,韩冰,17259886371,liuyang475@qq.com,广州,笔记本电脑支架,电子产品,223.45,1.0,2026-03-19,已发货,54
ORD-20260156,胡斌,15320846331,lina321qq,西安,机械键盘K8,电脑配件,142.85,1.0,2026/03/08,待付款,45
ORD-20260157,,17711889398,zhaomin19@qq.com,南京,机械键盘K8,手机配件,349.26,3.0,2026-03-27,已完成,36
ORD-20260158,何强,14756000822,huangli368@163.com,郑州,智能手表S1,手机 配件,237.91,1.5,2026-03-28,待付款,20
ORD-20260159,梁宇,13689715138,wangfang670qq,深圳,4K显示器27寸,电子产品,104.7,1.0,2026-06-04,已完成,35
ORD-20260160,唐亮,14378663747,wangfang290@qq.com,厦门,机械键盘K8,手机配件,252.52,4.0,2026-06-01,已退款,31
ORD-20260161,林洁,1412852723,lina973@qq.com,广州,路由器AX6000,手机配件,122.03,3.0,2026-08-26,已发货,36
ORD-20260162,宋雅,14216159129,,杭州,摄像头1080P,手机配件,262.97,1.0,10-07-2026,已发货,43
ORD-20260163,周杰,19166604960,lina116@163.com,上海,移动电源20000mAh,电子产品 ,292.69,5.0,14-07-2026,已退款,保密
ORD-20260164,林洁,13518500820,chenjing13@163.com,苏州,手机充电器65W,电子产品,134.35,4.0,18-03-2026,已退款,57
ORD-20260164,梁宇,19076549837,wangfang770@outlook.com,苏州,USB-C扩展坞,办公用品,277.07,1.0,2026-08-24,已退款,49
ORD-20260166,赵敏,13223776553,zhangwei571@qq.com,重庆,手机充电器65W,办公用品,233.02,2.0,2026-08-21,已退款,63
ORD-20260167,唐亮,15810294869,liuyang561@gmail.com,上海,移动电源20000mAh,办公用品,265.76,4.0,2026-04-21,已发货,24
ORD-20260168,王芳,14570465703,lina987outlook,上海,手机充电器65W,办公用品,351.74,5.0,2026/03/30,已发货,60
ORD-20260169,彭博,18391737749,zhaomin281@outlook.com,重庆,笔记本电脑支架,电脑配件,180.37,3.0,2026/12/26,待发货,53
ORD-20260170,杨帆,17427806897,lina516@gmail.com,长沙,手机充电器65W,办公用品,139.7,4.0,2026/01/07,已完成,21
ORD-20260171,杨帆,16643629729,zhangwei708@gmail.com,上海,无线鼠标M3,电子产品,128.84,2.0,2026/11/28,已发货,62
ORD-20260172,,18351963706,zhangwei14@gmail.com,青岛,机械键盘K8,手机配件,134.74,2.0,2026-05-31,待付款,29
ORD-20260173,赵敏,16327457234,liuyang6@gmail.com,杭州,智能手表S1,电子 产品,193.83,3.0,09-09-2026,已退款,63
ORD-20260174,黄莉,19431390345,yangfan95@gmail.com,武汉,摄像头1080P,手机配件,227.29,4.0,15-10-2026,待付款,N/A
ORD-20260175,彭博,16115352233,chenjing391@qq.com,重庆,智能手表S1,手机配件,222.14,3.0,2026-11-30,已退款,24
ORD-20260176,曹瑞,1384536326,yangfan856@qq.com,天津,摄像头1080P,电子产品,266.17,3.0,2026-01-20,已完成,34
ORD-20260177,高远,18262080854,yangfan444gmail,深圳,手机充电器65W,手机 配件,201.04,1.0,07/03/2026,已完成,61
ORD-20260178,李娜,17863031203,zhangwei486@163.com,杭州,路由器AX6000,手机配件,316.28,3.0,2026/01/06,已退款,20
ORD-20260178,罗浩,14050894954,chenjing217@outlook.com,杭州,移动电源20000mAh,电子产品 ,178.83,5.0,28-01-2026,已退款,53
ORD-20260178,宋雅,19254406060,zhaomin103@gmail.com,武汉,无线鼠标M3,手机配件,417.61,5.0,2026-10-18,待发货,28
ORD-20260178,黄莉,18547135338,lina696@gmail.com,青岛,笔记本电脑支架,手机配件,250.05,1.0,24-05-2026,已发货,30
ORD-20260182,彭博,13278072320,yangfan788@163.com,西安,手机充电器65W,办公用品,131.43,5.0,2026-05-29,已退款,43
ORD-20260183,张伟,15179006257,lina184@163.com,厦门,无线鼠标M3,手机配件 ,114.33,2.0,09/23/2026,待发货,47
ORD-20260184,王芳,19695035920,liuyang593@163.com,郑州,无线鼠标M3,电子产品,238.6,5.0,2026-07-27,待发货,48
ORD-20260185,张伟,15140868838,liuyang217@163.com,长沙,数据线1.5m,电子产品,182.12,1.0,2026/09/04,已取消,28
ORD-20260186,,1503260294,,杭州,智能手表S1,手机配件,257.12,1.0,05-12-2026,已完成,56
ORD-20260187,冯雪,18290643207,lina639@gmail.com,苏州,笔记本电脑支架,电子产品,237.86,2.0,25-09-2026,已退款,27
ORD-20260188,陈静,13481327320,wangfang96@outlook.com,北京,摄像头1080P,办公用品,194.17,2.0,04-09-2026,已取消,65
ORD-20260189,邓磊,14744160831,zhaomin932@qq.com,天津,USB-C扩展坞,手机 配件,-238.73,4.0,2026-12-02,待发货,24
ORD-20260190,梁宇,19866849468,liuyang697@outlook.com,天津,手机充电器65W,办公用品,78.81,3.0,2026-10-23,待付款,26
ORD-20260191,宋雅,15023459168,yangfan805@gmail.com,上海,移动电源20000mAh,电子产品,164.28,5.0,2026-08-11,待发货,23
ORD-20260192,韩冰,19648449249,zhangwei969@163.com,青岛,智能手表S1,办公用品,268.51,5.0,2026/09/19,已发货,61
ORD-20260192,黄莉,14147035619,chenjing686@outlook.com,武汉,手机充电器65W,手机 配件,217.13,5.0,2026-10-26,待发货,30
ORD-20260194,马超,18277946127,wangfang516@gmail.com,深圳,手机充电器65W,手机配件,100.34,2.0,06/23/2026,已取消,55
ORD-20260195,林洁,1584857587,chenjing529@qq.com,西安,机械键盘K8, 电脑配件,213.85,2.0,2026-09-01,已发货,35
ORD-20260196,韩冰,19336798789,zhaomin894@gmail.com,武汉,机械键盘K8,手机配件,230.83,4.0,2026-11-11,已退款,48
ORD-20260197,徐辉,16575874779,liuyang408@163.com,杭州,智能手表S1,办公用品,129.29,4.0,18-12-2026,已取消,62
ORD-20260198,徐辉,1567365745,liuyang192@gmail.com,厦门,数据线1.5m,电脑配件,212.3,3.0,06-07-2026,待发货,54
ORD-20260199,高远,16441649234,yangfan201@163.com,杭州,笔记本电脑支架,电脑配件,204.66,5.0,2026/10/01,已取消,53
ORD-20260200,王芳,13738919534,huangli860@qq.com,苏州,USB-C扩展坞,手机配件,108.56,5.0,2026/04/12,待付款,29
